ID,Joke
1,"Nicht nur das Brot ist in der CDU verkrustet, sondern auch die Strukturen."
2,Wer „pschhhht“ flüstert muss auch Halts Maul schreien können.
3,"Bewerbungsgespräche tun so, als wären sie ein Date, sind aber eigentlich ein Verhör."
4,"Bewerbungespräche sind, wenn man nicht Lügen darf, aber sollte."
5,"Einzimmerapartment, du bist für mich da, gibst mir Wärme und Heizkosten."
6,"Wenn sich nur jeder Mühe gibt, dann werden wir alle Jedi-Meister."
7,"Armin Laschet ist so ein Boomer, dass er dann im Kanzleramt seine Bundessprecher angruscheln würde."
8,"Peinlich, wer in Bewerbungsgesprächen nicht erwähnt, dass man schon mit 3 eigenen StartUp-Gründungen erfolgreich pleite gegangen ist."
9,Bewerbungsgespräche sind wenn man drei mal einen W20 wirft und erst in 7 Tage bis 6 Monate vom Ergebnis erfährt.
10,"Ich glaube mein Schnuffel, braucht mal paar Knuffel hinter die Wuffeln, aber was weiß ich auch schon von Inflation."
11,Der Neoliberalismus verwechselt in der Motivation von Menschen Ehrgeiz mit Mietzahlungen.
12,Pandas sind für mich auch nicht angemalte Kugelbären.
13,"Renter, die CDU wählen, verschätzen ihr Einkommen um das Zehnfache, weil sie sich von der Rente keine neue Brille leisten können."
14,"Wie wars eigentlich vor 50 Jahren, als wir auf der noch keine Milliardäre hatten. Gabs da nur trocken Brot?"
15,"Die 5. Todeswelle bei unseren Alten kommt dann, wenn die Opas und Omis in das Wahlprogramm der CDU auch wirklich mal reinlesen."
16,"Wenn Eichhörnchen wählen könnten, würde die Hälfte die AFD wählen, um die ausländischen Eichhörnchen abschieben zu können."
17,"Protipp: Wenn man jemand die Haare bürstet, aufpassen, dass man kein Rasierapparat in der Hand hält."
18,"Ich glaube der nächste Generationskonflikt steht schon vor der Tür, wenn die Boomer unsere Discords fluten."
19,"Der Unterschied zwischen Journalisten und Sozialarbeitern ist, dass die einen schlecht bezahlt werden, absurde Arbeitssituationen haben und von der Politik ständig in ihrer Arbeit behindert werden und die …Oh ne das waren die Gemeinsamkeiten."
20,"Gut ist, was schlecht sein könnte, aber zu teuer, um es schon wegzuwerfen."
21,"Wer glaubt, dass Vögel fröhlich sind, hat noch nie gesehen, wie traurig sie im Regen auf meiner Fensterbank sitzen."
22,Politiker sind nicht alle gleich – scheiße.
23,Angestellt als Lieferfahrer steht man in Lohnradhängigkeit.
24,"Für mich ist ein guter Plagiatjäger nur, wer wirklich ein Plagiat jagd und es danach isst. "
25,"Kein echter Plagiatsjäger in 2021, wer keine Selfies von sich und seinem Plagiat ins Internet lädt."
26,"Lieferfahrer, der Fetch-Quest job."
27,"Wenn die Hälfte deines Gehaltes das Trinkgeld ausmachst, bist du entweder Lieferfahrer, oder Risikotrader eines großen Finanzinvestors."
28,"Das geht raus an alle, die keine Waschmaschinen haben."
29,"Gut, dass Corona vorbei ist, jetzt sterben die Alten wieder an Hitze und Einsamkeit, so wie es früher war."
30,"Wenn ich ausziehe, lasse ich 1 Klopapierrolle, 1 halbleere Fitflasche und 2 gleiche Schrauben in verschiedenen Ecken des Raumes für den nächsten Mieter zurück."
31,"Wenn ich mal roß bin, will ich auch mal wie Frank Thelen Geld an die FDP spenden."
32,Du magst das Internet? Warte ab bis Onkel Enno dein Reddit entdeckt.
33,"Ausländische Pflegekräfte, werden ignoriert, wie Salz, seitdem ich Karl Lauterbach kenne."
34,"Es bestürzt mich, brüstet er sich mit seiner Bürste? Brüste sind mir wichtig, aber mich bestürzt, dass er sich weniger mit seinen Brüsten, als mit seiner Bürste brüstet."
